State,2010,2011,2012,2013,2014,2015,2016,2017,2018
Georgia,19836 (3.11%),20975 (3.36%),20516 (3.3%),16971 (2.87%),16521 (2.87%),13790 (2.44%),12909 (2.35%),10174 (1.84%),9499 (1.72%)
South Carolina,4473 (0.7%),5093 (0.82%),4915 (0.79%),6544 (1.11%),5057 (0.88%),5354 (0.95%),5051 (0.92%),3916 (0.71%),3933 (0.71%)
North Carolina,12191 (1.91%),12896 (2.07%),13524 (2.18%),12168 (2.06%),11491 (1.99%),10685 (1.89%),9559 (1.74%),8962 (1.62%),9268 (1.68%)
Virginia,9080 (1.43%),8816 (1.41%),8424 (1.36%),7625 (1.29%),7020 (1.22%),7001 (1.24%),6268 (1.14%),6067 (1.1%),5975 (1.08%)
West Virginia,2264 (0.36%),2211 (0.35%),2410 (0.39%),2240 (0.38%),2013 (0.35%),1835 (0.32%),1387 (0.25%),1309 (0.24%),1243 (0.23%)
Ohio,12569 (1.97%),13030 (2.09%),13977 (2.25%),12325 (2.09%),11823 (2.05%),11182 (1.98%),10404 (1.89%),10095 (1.83%),10249 (1.86%)
Maryland,10845 (1.7%),10208 (1.64%),9454 (1.52%),8205 (1.39%),7856 (1.36%),8390 (1.49%),7689 (1.4%),7247 (1.31%),7144 (1.29%)
Delaware,982 (0.15%),1035 (0.17%),1008 (0.16%),946 (0.16%),901 (0.16%),953 (0.17%),1070 (0.19%),994 (0.18%),1082 (0.2%)
Pennsylvania,14516 (2.28%),15096 (2.42%),14736 (2.37%),15086 (2.56%),15333 (2.66%),15421 (2.73%),15339 (2.79%),14138 (2.56%),13512 (2.45%)
New York,65606 (10.3%),63445 (10.17%),69566 (11.19%),77430 (13.12%),80590 (13.98%),88250 (15.63%),86352 (15.7%),89503 (16.18%),91897 (16.65%)
New Jersey,13737 (2.16%),14137 (2.27%),13025 (2.1%),12002 (2.03%),11671 (2.02%),10098 (1.79%),8895 (1.62%),8536 (1.54%),9398 (1.7%)
Connecticut,4316 (0.68%),4456 (0.71%),4209 (0.68%),4448 (0.75%),4450 (0.77%),4047 (0.72%),3902 (0.71%),3388 (0.61%),3976 (0.72%)
Rhode Island,1282 (0.2%),1070 (0.17%),1277 (0.21%),1384 (0.23%),1190 (0.21%),1111 (0.2%),1160 (0.21%),1180 (0.21%),1101 (0.2%)
Vermont,1220 (0.19%),1144 (0.18%),1160 (0.19%),1454 (0.25%),1559 (0.27%),1523 (0.27%),1117 (0.2%),1225 (0.22%),1291 (0.23%)
New Hampshire,1574 (0.26%),1469 (0.24%),1490 (0.24%),1447 (0.25%),1376 (0.24%),1445 (0.26%),1366 (0.25%),1456 (0.26%),1450 (0.26%)
Maine,2379 (0.46%),2447 (0.39%),2393 (0.39%),3016 (0.51%),2726 (0.47%),2372 (0.42%),2241 (0.41%),2280 (0.41%),2516 (0.46%)
Alaska,1863 (0.29%),2128 (0.34%),1913 (0.31%),1946 (0.33%),1784 (0.31%),1956 (0.35%),1940 (0.35%),1845 (0.33%),2016 (0.37%)
Hawaii,5834 (0.92%),6188 (0.99%),6246 (1%),6335 (1.07%),6918 (1.2%),7620 (1.35%),7921 (1.44%),7220 (1.31%),6530 (1.18%)
Massachusetts,16646 (2.61%),16664 (2.67%),17501 (2.82%),19029 (3.22%),21237 (3.68%),21135 (3.74%),19608 (3.57%),17565 (3.18%),20068 (3.64%)
